local e=
{
ByIdx={
{210761001,0,"平静的树林中，忽然响起一阵悲鸣。","고요한 숲 속에서 갑자기 흐느끼는 울음 소리가 들려왔다.","穏やかな森の中で突然、悲痛な叫び声が響いた。","静かな森の中で、突然悲鳴を上げてきた。","",0,0,"","","","","","","","","",""},
{210763061,2090,"那些宝物之珍贵，是即使当初拥有巨大财富的老头子我，也没有见过的。","그 중에 주신 보물들의 가치는... 정말 역사상으로도 엄청난 가치가 있던 것들이었지.","その宝物はわしでさえ見たことがないものばかりじゃった。","","",0,0,"","","","","","","","","",""},
{210763062,2090,"但我并没有接受布伦希尔德小姐的好意，因为我知道，即便是得到了那些宝物，村民们也会很快再次失去这笔财富。","하지만 난 그것들을 받지 않았네. 왜냐하면 그것들의 가치를 마을 사람들은 알아보지 못할 거니깐!","しかし、わしはそれを受け取らなかった。なぜなら、たとえ人々がその宝物を手に入れたとしても、すぐに失うことがわかっていたからじゃ。","","",0,0,"","","","","","","","","",""},
{210763063,2090,"我之所以想借助“湖中仙女”这个创造出来的噱头振兴度假村，也是为了给村民们工作的机会，","호수의 정령이라는 가짜 이야기까지 만든 것도...\r\n그래도 마을 사람들이 직접 돈을 벌 수 있게 하려고 한 거야.","「湖の精霊」の触れ込みを利用してここを再興しようとしたのも、考えがあってのことじゃ。","","",0,0,"","","","","","","","","",""},
{210763064,2090,"让他们能够开始工作，不至于守着那点财产苟且活着，最终在腐烂发臭中死去。","아무런 열정도 없이 이곳에 그냥... 그렇게 비참하게 가지 않기를 바라는 마음이었지.","村の人々に働く機会を与え、お金に固執せず、新しい人生を歩ませたかったのじゃ！","","",0,0,"","","","","","","","","",""},
{210763065,1005,"唔……","음...","うーん…。","","",0,0,"","","","","","","","","",""},
{210763066,1008,"切，说的好听，结果不还是在骗人么！","... 다 모르겠고! 어쨌든 이건 사기예요!","でも、結局人を騙してるじゃないですか！","","",0,0,"","","","","","","","","",""},
{210763067,2090,"……呃。","... 윽...!","えっと…","","",0,0,"","","","","","","","","",""},
{210763068,1008,"哼！主人大人，这些家伙一点都不值得同情！","흥! 성주님, 동정할 가치가 없습니다!","ご主人様！この連中、全く同情するに値しないと思います！","","",0,0,"","","","","","","","","",""},
{210763069,1008,"布伦希尔德太可怜了，咱们去帮她吧！才不是嫉妒这些混蛋猛猛赚钱！","브륀힐드 님이 너무 불쌍해요! \r\n이런 사람들에게 속임이나 당하고! 자기 시간도 없이! 다 퍼주시니!","本当にかわいそうなのはブリュンヒルドさんですよ。彼女を助けましょう！","","",0,0,"","","","","","","","","",""},
{210763070,0,"将老村长塞住嘴巴绑了之后，{PlayerName}几人趁着夜色潜入了度假村。","촌장을 숲 속에 묶어 놓은 뒤, {PlayerName} 님과 일행은 별장촌에 조용히 잠입했다.","{PlayerName}一行は再び村長を袋に押し込み、リゾートに戻った。","","",0,0,"","","","","","","","","",""},
{210764001,0,"布伦希尔德是被风惊醒的，睁开眼睛，便看见了头顶的星空。","무언가 인기척을 느낀 브륀힐드는 잠에서 일어났고,눈을 뜨자 눈 앞에는 수많은 별들이 보였다.","ブリュンヒルドはほほに当たる風で目を覚ました。目に映ったのは満点の星空だった。","","",0,0,"","","","","","","","","",""},
{210764002,21076,"熟悉的星空……呃不对，我怎么在外面？","어... 제가 왜... 이곳에?","見慣れた星空…あれ、なんであたしは外に…？","","",0,0,"","","","","","","","","",""},
{210764003,21076,"欸，{PlayerName}？你们这是？","어... 에에?! {PlayerName} 성주님...?! 이, 이게 대체 무슨 상황인 거죠?!","あれ？{PlayerName}さん？","","",0,0,"","","","","","","","","",""},
{210764004,1003,"布伦希尔德小姐，关于你的事我们都已经知道了，放心吧，My lord会带你离开这里的！","브륀힐드 님, 걱정하지 마세요! \r\nMy Lord께서 이곳에서 당신이 떠나실 수 있게 도와주실 겁니다!","ブリュンヒルドさん、全てわかりましたよ。安心して、マイロードはきっとあなたを連れ出してくれますから！","","",0,0,"","","","","","","","","",""},
{210764005,21076,"离开？唔，兰斯洛特小姐，这到底是……？","떠난다구요? 어... 란슬롯 님, 도대체 그게 무슨...?","連れ出すって？ランスロットさん、あれ？","","",0,0,"","","","","","","","","",""},
{210764006,0,"几人在夜色中往村外的方向走，兰斯洛特顺便将老村长的那些话告诉给了在{PlayerName}背上的布伦希尔德。","일행들이 마을 외곽 쪽에 도착할 때까지 란슬롯은  {PlayerName} 님의 등에 업혀 있는 브륀힐드에게 촌장의 이야기를 말했다.","一行は村の外に向かって走っている。ランスロットは村長の言葉を、{PlayerName}の背中にいるブリュンヒルドに伝えた。","","",0,0,"","","","","","","","","",""},
{210764007,21076,"没想到，居然会是这样……","어...! 그, 그럴 수가...!","そんな…そうだったんですか…","","",0,0,"","","","","","","","","",""},
{210764008,1008,"是啊是啊，那群混蛋居然敢利用布伦希尔德你的善良和同情心，真是该死啊！","사람들도 그렇지! 브륀힐드 님의 착한 마음을 이용하다니...! \r\n정말이지 천벌을 받아도 마땅해요!","そうですよ！ブリュンヒルドさんの優しさを利用するなんて！","","",0,0,"","","","","","","","","",""},
{210764009,1008,"咱们这就离开这个鬼地方！","그러니깐 뒤도 돌아보지 말고 저희랑 같이 돌아가요!","今からでも逃げましょう！","","",0,0,"","","","","","","","","",""},
{210764010,21076,"可是……","하지만...","でも…","","",0,0,"","","","","","","","","",""},
{210764011,21076,"如果我走了的话，这个度假村会再次没落吧？","제가 떠난다면... 이 별장촌은 다시...","あたしが離れたら、この村は…","","",0,0,"","","","","","","","","",""},
{210764012,21076,"虽然老村长欺骗了我，但他说的也有几分道理，如果能让村民们再次工作，说不定就能拯救这个村子呢。","촌장님께서 저를 속이신 건 잘못 하셨지만 틀린 말은 아니에요.\r\n마을 사람들이 다시 열정을 같고 일하게 된다면... 마을은 분명 좋아질 수 있을 거예요.","村長さんがあたしを騙したのも事実ですが、でも、働けるチャンスを与えれば村の人々を救えるかもしれませんよ？","","",0,0,"","","","","","","","","",""},
{210764013,1008,"姐姐啊！都这个时候了，你还没想明白么，这群不劳而获的家伙就该狠狠破产！","브륀힐드 님! 아직도 상황 파악이 안 되세요?! \r\n사기꾼들을 도와줄 필요 없어요!","なにを言ってるんです！まだわからないんですか？濡れ手で粟では未来が無いんですよ！","","",321076411,321076412,"你的拯救，并没有任何意义。","도와줄 의미가 없어.","あなたの救いでは意味がないんだ。","","","你这是害了他们呀！","이건 그들에게는 오히려 독이라고!","逆に良くないことだと思わないか！","",""},
{210764014,1008,"主人大人说得对！那些钱只会害了他们！","들으셨죠?! 오히려 이건 저 사람들에게는 독이에요!","そうだそうだ！良くないんです！","","",0,0,"","","","","","","","","",""},
{210764015,1008,"就是就是！就像主人大人说的那样，靠坑蒙拐骗的工作，能是正经工作么！","사람들에게 사기를 쳐서 돈을 버는 거에 동정하실 필요 없다구요!","人を騙してお金を稼ぐことが、働けるチャンスと呼べるんでしょうか？","","",0,0,"","","","","","","","","",""},
{210764016,1008,"那不能啊，宁宁你说是吧？","링링 님, 어서 말을 좀 해보세요!","ですよね、寧々さん！","","",0,0,"","","","","","","","","",""},
{210764017,1005,"是呀，布伦希尔德小姐。现在的度假村，不过是走上了当年的老路。","틀린 말은 아니에요. 쉽게 돈을 벌기 위한 건 예전이나 지금이나 다를 게 없어요...","ブリュンヒルドさん。村は今、ただ四十年前と同じ状況になっただけです。","","",0,0,"","","","","","","","","",""},
{210764018,1005,"以前他们靠的是优异的自然风景，现在则是你的噱头，从没想过提升自己的服务水平和游客的体验。","과거에는 자연을 팔았다면... 지금은 사람을 속이기에 급급하니깐요. \r\n진짜로 고쳐야 하는 게 무엇인지 모르고 있어요.","以前の手段は優れた景色、今その手段がブリュンヒルドさんにかわっただけにすぎません。","","",0,0,"","","","","","","","","",""},
{210764019,1003,"只有你离开，这些人才有破而后立的机会，真正学会怎样经营好度假村，服务好客人。","브륀힐드 님이 도와주지 않아야... 저들이 정신을 차리고 열심히 노력할 것입니다.","あなたが離れることで、村人たちは経営の大切さと、お客様へのサービスの重要性を学ぶことができると思います。","","",0,0,"","","","","","","","","",""},
{210764020,1003,"你留在，反而只会让他们愈发懒惰，不思进取。","여기에 남아 계시면 사람들을 속이는 선택이 잘한 거라 생각하실 거예요.","あなたがここに残っても、彼らは変わらないんです。","","",0,0,"","","","","","","","","",""},
{210764021,21076,"可若是他们没有破而后立的觉悟呢？","제가 떠난 뒤, 사람들의 각오가 생기지 않는다면요...?","もしそれを学ぶことができなかったらどうするんですか？","","",0,0,"","","","","","","","","",""},
{210764022,1008,"那只能是放下助人情节；","그건 어쩔 수 없죠...","それは…","","",0,0,"","","","","","","","","",""},
{210764023,1003,"尊重他人命运了。","그들의 선택을 존중해야죠...","それは彼ら次第ですね。","","",0,0,"","","","","","","","","",""},
{210764024,21076,"……好，好吧，我明白了。","... 무슨 말씀이신지 알겠어요.","…ええ、わかりました。","","",0,0,"","","","","","","","","",""},
{210764025,0,"这时，周围忽然亮起了火光，紧接着大量村们举着火把从四面八方涌了过来。","그리고 그때, 주변이 환하게 밝아졌고 마을 사람들이 횃불을 들고 모여들기 시작했다.","突然、周囲が火の光で明るくなった。村の人たちが松明を持って四方八方から押し寄せてきたのだ。","","",0,0,"","","","","","","","","",""},
{210764026,2090,"仙女大人，您不能走啊！这个度假村不能没有你！","정령님, 떠나시면 안 됩니다! 저희 별장촌에는 당신이 필요합니다!","精霊様！おいて行かないでください！この村はあなたが必要なんです！","","",0,0,"","","","","","","","","",""},
{210764027,1008,"咦，这老家伙不是被我们绑在树林里了吗，怎么跑这里来了？","... 분명 숲 속에 매달아 놓고 왔는데. 어떻게 풀고 나온 거죠?!","縛っておいたはずなのに、どうしてここに来れたんです！？","","",0,0,"","","","","","","","","",""},
{210764028,2044,"嘿，那当然是我的功劳了~","그거야 제가 풀었죠!","俺のおかげだな！","","",0,0,"","","","","","","","","",""},
{210764029,1005,"你是……一开始在村口遇到的那个人？","당신은 마을 입구에서 만났던 분...?","あなたは…ここで最初に出会った方…？","","",0,0,"","","","","","","","","",""},
{210764030,2044,"没错！就是我啦！今晚我本来想到树林里去碰运气，看能不能撞见仙女在洗，咳，我是说在散步什么的。","네! 저는 그냥 정령님 목욕... 크흠흠흠!\r\n사, 산책을 나갔다나가!","そうだ！今晩は運試しに森に行って、精霊様のお風呂…コホン…お散歩にでも出くわせたら良いなと思っていたんだが。","","",0,0,"","","","","","","","","",""},
{210764031,2044,"结果没想到哇没想到！猜猜我看到了什么，一群外来的不法分子，居然绑架了老村长，还把他丢弃在了树林里！","당신들에 촌장님을 납치하고 숲 속에 묶어 놓은 걸 우연치 않게! 보게 된 겁니다!","だが、意外だったな！お前たちが村長さんを拉致するところを目撃できるとは！","","",0,0,"","","","","","","","","",""},
{210764032,2044,"简直是太残暴了！","... 정말이지 너무하시군요!","ひどい話だ！","","",0,0,"","","","","","","","","",""},
{210764033,1003,"这个笨蛋。","... 후.","こいつ…","","",0,0,"","","","","","","","","",""},
{210764034,2044,"嘿嘿，我说各位呀，想要觐见仙女大人的心情我是能理解的，但凡事都要将规矩不是？","당신들이 정령님과 만나고 싶어 하는 마음 이해하지만! \r\n이렇게 마음대로 하시면 안 되죠!","なあ、精霊様に会いたい気持ちはわかるが、ルールはちゃんと守らないといけないんじゃないか？","","",0,0,"","","","","","","","","",""},
{210764035,2044,"结果你们呢，不仅绑架了老村长，现在居然还想要拐走仙女大人！这对吗？这不对！","그리고 촌장님을 납치한 것도 모자라... 이제는 정령님까지 납치하려고 하다니!\r\n거참 사람들이 말이야! 어?!","それに、村長を拉致しただけじゃなく、今度は精霊様まで誘拐しようとしてるなんて！そんなのおかしいだろ？","","",0,0,"","","","","","","","","",""},
{210764036,2044,"我劝你们呀，还是老老实实把仙女大人放下，不要执迷不悟！","충고하는데 당장 정령님을 풀어주세요!","大人しく、精霊さまをおいていけ！","","",0,0,"","","","","","","","","",""},
{210764037,1008,"懒得和你这白痴说，喂！老头！我已经把你那些话告诉给布伦希尔德了，识相就让开，不然……","후, 정말이지 욕심에 눈이 멀어도 그렇지. \r\n촌장님, 이미 저희는 아주 잘~ 말씀 드린 거 같은데요?","おい爺さん！もうブリュンヒルドさんには全部話しましたからね、邪魔しないでください！","","",0,0,"","","","","","","","","",""},
{210764038,1008,"不然我家主人会让你知道【午夜屠夫】不是浪得虚名！哼！","좋은 말로 할 때 가시죠? 자꾸 이러시면... \r\n「새벽의 살인자」의 모습이 나오실 지도...?","でないと…うちのご主人様の「闇の殺し屋」の実力を見せてやるぞ！","","",321076421,321076422,"我【午夜屠夫】可是要发飙了哦！","「새벽의 살인자」 모습이 나온드아?!?!","「闇の殺し屋」がいくぞ！","","","不要再提这个LOW到爆的名字！","부, 부끄러우니 그 말만은 제발...!","その名前だけは勘弁してくれ！","",""},
{210764039,1008,"唔，明明很酷……不过这不重要！","엄청 멋있지 않아요?! 아, 아무튼...!","え？かっこいいのに…！","","",0,0,"","","","","","","","","",""},
{210764040,1008,"主人大人我看这群家伙是不见棺材不落泪，得给他们点颜色瞧瞧！","주인님, 이 사람들 아직 정신을 못 차린 거 같아요! 혼을 좀 내줘야 겠어요!","ご主人様、こいつら本当に追い詰められないと言うことを聞きませんよ！","","",0,0,"","","","","","","","","",""},
{210764041,21076,"谢谢你，{PlayerName}，还是让我来跟他们说吧。","{PlayerName} 성주님, 제가 직접 말씀드리도록 할게요.","ありがとう、{PlayerName}さん。ここはあたしに話させてください。","","",0,0,"","","","","","","","","",""},
{210764042,21076,"老村长先生，我已经想明白了。我果然还是无法认同这样的经营方式，离开才是对度假村最正确的选择。","촌장님, 제 선택은 변하지 않을 거예요. 여러분들을 위해서라도... \r\n이 별장촌을 떠나는 게 맞아요.","村長さん、あたしはやっぱり人を騙すやり方は認められません。ここから離れるのは正しい選択だと思っています。","","",0,0,"","","","","","","","","",""},
{210764043,2090,"真，真的没有其他可能了么？","... 지, 진심이십니까...?!","ほ…本当にどうにもなりませんか？","","",0,0,"","","","","","","","","",""},
{210764044,21076,"靠噱头蒙骗他人，是注定没有好结果的。","사람들을 속이는 건... 결국 좋지 않은 결과를 가져오게 될 거예요.","人を騙してお金を稼いだって、良い結果はもたらされませんよ。","","",0,0,"","","","","","","","","",""},
{210764045,2090,"呃，我的意思是……要不咱再考虑考虑，当初你说的那个，给度假村赠送一些宝物那件事……","윽, 그러니깐... 조, 조금이라도 고민을 좀...!\r\n그, 그냥 돈은 받지 않고 선물을 주는 건 어떻게...","あ、あの…でしたら、最初に言っていた宝物のことを…","","",0,0,"","","","","","","","","",""},
{210764046,21076,"……","......","……","","",0,0,"","","","","","","","","",""},
{210764047,21076,"老村长先生，从今以后，请认真工作吧！","촌장님. 앞으로 남을 속이지 않는 일을 하시는 걸 바라요!","村長さん。これからは、真面目に働きましょう？","","",0,0,"","","","","","","","","",""},
{210764048,2090,"不，不要啊！！！","브, 브륀힐드 님! 제... 제발!","い…いやだ！！！","","",0,0,"","","","","","","","","",""},
{210764049,2044,"不能让他们带走仙女大人！把仙女大人夺回来！","정령님을 당장 데려와야해! 뺏기면 안 돼!","精霊様を奴らに渡すわけにはいかない！取り戻せ！","","",0,0,"","","","","","","","","",""},
{210764050,0,"村民们不顾快要晕倒了老村长，全都虎视眈眈盯着布伦希尔德，并逐渐向{PlayerName}等人围了上来。","사람들은 쓰러진 촌장을 신경도 쓰지 않고 브륀힐드와 {PlayerName}님의 일행 쪽으로 점점 몰려왔다.","村の人々は一様にブリュンヒルドを見つめ、徐々に{PlayerName}たちに近づいてきた。","","",0,0,"","","","","","","","","",""},
{210764051,2044,"把仙女大人还给我们！","정령님을 내놔!","早く精霊様を渡せ！","","",0,0,"","","","","","","","","",""},
{210764052,2088,"你们这些可耻的强盗！仙女大人是属于我们的！","비열한 사람들...! 정령님은 우리 거야!","精霊様を返せ！精霊様は私たちのものだ！","","",0,0,"","","","","","","","","",""},
{210764053,2044,"交出仙女大人！交出仙女大人！交出仙女大人！","정령님을 내놔! 당장! 내놓으라고!!!","精霊様を返せ！精霊様を返せ！","","",0,0,"","","","","","","","","",""},
{210764054,1008,"呜哇，这，这些家伙好吓人！","윽...! 너, 너무 무서운데요...!","うわ、なんですかこいつら、こわっ！","","",0,0,"","","","","","","","","",""},
{210764055,21076,"你们先走吧，这里交给我。不能因为我而让你们陷入苦境！","다들 먼저 돌아가세요. 제가 만든 일... 제가 마무리 짓고 가겠습니다. \r\n성주님께서 곤란해 지시면 안 되니깐요.","あたしのせいでこんなことに…{PlayerName}さん先に行ってください！ここはあたしに任せて！","","",0,0,"","","","","","","","","",""},
{210764056,21076,"欸，{PlayerName}你要去和这些人讲道理？不行的，这个时候是没法和他们讲道理的，你们还是先走吧！","휴, {PlayerName} 성주님께서 아무리 말해도 통하지 않을 거예요. 그러니 먼저 돌아가세요.","えっ、{PlayerName}さん、どうするつもりですか？もう理屈は通じませんよ！","","",321076431,0,"不，我的道理就是——正能量修正拳！","말이 통하지 않는다면 주먹으로라도...!","いや、理屈とは…力！くらえ、節操修正拳！","","","","","","",""},
{210764057,21076,"……欸？","...... 네?","あれ…？","","",0,0,"","","","","","","","","",""},
{210764058,0,"连续击打的声音","(싸우는 소리)","オラオラオラオラオラオラオラオラ","","",0,0,"","","","","","","","","",""},
{210764059,2044,"啊——救命啊！","악! 악! 살려주세요!","うわー！助けてー！","","",0,0,"","","","","","","","","",""},
{210764060,2088,"我们错了，不要再打了呜呜呜！","저희가 잘못 했습니다! 때, 때리지만은 말아주세요!","ごめんなさい！もうこれ以上は…！","","",0,0,"","","","","","","","","",""},
{210764061,1008,"现在知道错啦？以后还敢不敢了？","이제야 다들 정신이 드신 건가요?!","今後はどうするつもりですか？","","",0,0,"","","","","","","","","",""},
{210764062,2044,"不敢了不敢了！以后我们一定努力好好工作，再也不偷奸耍滑呜呜呜！","자, 잘못 했습니다! 앞으로는 절대 사기 같은 거 치지 않고 열심히 살게요!","ちゃんと働きます！人を騙すことなど二度としませんから！","","",0,0,"","","","","","","","","",""},
{210764063,21076,"……呃。","... 휴.","えっと…","","",0,0,"","","","","","","","","",""},
{210764064,0,"击退了村民后，几人和布伦希尔德离开度假村，走在来时的树林间。","그렇게 마을 사람들이 돌아간 뒤, 브륀힐드와 청주성으로 돌아가는 숲속 길을 걷고 있었다.","村の人たちを撃退した後、一行はリゾートから出て、森の中を歩いていた。","","",0,0,"","","","","","","","","",""},
{210764065,21076,"非常感谢你们的帮助，{PlayerName}，真不知该怎么感谢你们才好。","정말 감사해요. {PlayerName} 성주님... 어떻게 보답을 드려야할 지...","今回は本当にありがとうございます。{PlayerName}さん、あたし、どうお礼を言ったらいいのか…","","",0,0,"","","","","","","","","",""},
{210764066,1003,"不用道谢，这是我们应该……","고마워하실 필요 없습니다. 당연히 해야할 일을 했을 뿐ㅡ","お礼を言う必要はありませんよ。","","",0,0,"","","","","","","","","",""},
{210764067,1008,"“湖中仙女”这个名字肯定不能用了，换个什么好？“天山神女”？“森之精灵”？","「호수의 정령」... 이제 이 이름은 더이상 못 부르겠네요? 그럼 이제 뭘로 부를까요? 「산 속 선녀」? 「숲의 정령」?","「湖の精霊」という名前は捨てましょう！これからは…えっと、「山の神」とか「森の精霊」とか？","","",321076441,0,"关键是找到建立度假村的地方！","아니! 별장촌을 어디다 지을지가 먼저지!","重要なのは、リゾート地を建てる場所を見つけることだ！","","","","","","",""},
{210764068,1008,"不愧是主人大人，一下子就找到了问题的关键！","역시! 생각이 깊으시다니깐요?!?!","さすがはご主人様！すぐに肝心なところを見抜きますね！","","",0,0,"","","","","","","","","",""},
{210764069,1005,"一个好的度假村，得有个好的故事，要不找些文人编一些故事传记什么的？","좋은 관광지에 걸맞는 좋은 스토리가 필요하죠.\r\n음, 저희 작가님이라도 구해야 하는 거 아닐까요?","良いリゾートには良い伝説が必要ですよね。文章を書ける人を探してきましょう！","","",0,0,"","","","","","","","","",""},
{210764070,21076,"……","......","……","","",0,0,"","","","","","","","","",""},
{210764071,1003,"……","......","……","","",0,0,"","","","","","","","","",""},
{210764072,21076,"我现在跑还来得及么？","지금 도망치기에는... 많이 늦은 걸까요...?","あれ……？","","",0,0,"","","","","","","","","",""},
{210764073,1003,"咳——来不及了。","흐음, 네. 많이 늦으셨습니다.","コホンーー、逃がすな！","","",0,0,"","","","","","","","","",""},
{210764074,0,"兰斯洛特一边别扭地说着，一边牢牢抓住了布伦希尔德的手臂——彷佛那不是手臂，而是黄金。","란슬롯은 대답과 동시에 브륀힐드의 팔을 꽉 잡았다... 하지만 그 모습은 마치 팔이 아니라 골드바를 꽉 잡는 것처럼 보인 건 기분 탓...?","ランスロットは話しながら、ブリュンヒルドの腕をしっかりと掴んだ。まるでそれが腕ではなく、黄金であるかのように。","","",0,0,"","","","","","","","","",""}
},
Len=281
}
return e 
